fault_id,probability,failed,passed_correct,passed_wrong_sdc
4,0.95,0,864,0
4,1.00,0,864,0
5,0.00,0,864,0
5,0.05,864,0,0
5,0.10,864,0,0
5,0.15,864,0,0
5,0.20,864,0,0
5,0.25,864,0,0
5,0.30,864,0,0
5,0.35,864,0,0
5,0.40,864,0,0
5,0.45,864,0,0
5,0.50,864,0,0
5,0.55,864,0,0
5,0.60,864,0,0
5,0.65,864,0,0
5,0.70,864,0,0
5,0.75,864,0,0
5,0.80,864,0,0
5,0.85,864,0,0
5,0.90,864,0,0
5,0.95,864,0,0
5,1.00,864,0,0
6,0.00,0,864,0
6,0.05,823,41,0
6,0.10,858,6,0
6,0.15,862,2,0
6,0.20,863,1,0
6,0.25,864,0,0
6,0.30,864,0,0
6,0.35,864,0,0
6,0.40,864,0,0
6,0.45,864,0,0
6,0.50,864,0,0
6,0.55,864,0,0
6,0.60,864,0,0
6,0.65,864,0,0
6,0.70,864,0,0
6,0.75,864,0,0
6,0.80,864,0,0
6,0.85,864,0,0
6,0.90,864,0,0
6,0.95,864,0,0
6,1.00,864,0,0
7,0.00,0,864,0
7,0.05,0,864,0
7,0.10,0,864,0
7,0.15,0,864,0
7,0.20,0,864,0
7,0.25,0,864,0
7,0.30,0,864,0
7,0.35,0,864,0
7,0.40,0,864,0
7,0.45,0,864,0
7,0.50,0,864,0
7,0.55,0,864,0
7,0.60,0,864,0
7,0.65,0,864,0
7,0.70,0,864,0
7,0.75,0,864,0
7,0.80,0,864,0
7,0.85,0,864,0
7,0.90,0,864,0
7,0.95,0,864,0
7,1.00,0,864,0
8,0.00,0,864,0
8,0.05,0,864,0
8,0.10,0,864,0
8,0.15,0,864,0
8,0.20,0,864,0
8,0.25,0,864,0
8,0.30,0,864,0
8,0.35,0,864,0
8,0.40,0,864,0
8,0.45,0,864,0
8,0.50,0,864,0
8,0.55,0,864,0
8,0.60,0,864,0
8,0.65,0,864,0
8,0.70,0,864,0
8,0.75,0,864,0
8,0.80,0,864,0
8,0.85,0,864,0
8,0.90,0,864,0
8,0.95,0,864,0
8,1.00,0,864,0
9,0.00,0,864,0
9,0.05,864,0,0
9,0.10,864,0,0
9,0.15,864,0,0
9,0.20,864,0,0
9,0.25,864,0,0
9,0.30,864,0,0
9,0.35,864,0,0
9,0.40,864,0,0
9,0.45,864,0,0
9,0.50,864,0,0
9,0.55,864,0,0
9,0.60,864,0,0
9,0.65,864,0,0
9,0.70,864,0,0
9,0.75,864,0,0
9,0.80,864,0,0
9,0.85,864,0,0
9,0.90,864,0,0
9,0.95,864,0,0
9,1.00,864,0,0
10,0.00,0,864,0
10,0.05,864,0,0
10,0.10,864,0,0
10,0.15,864,0,0
10,0.20,864,0,0
10,0.25,864,0,0
10,0.30,864,0,0
10,0.35,864,0,0
