Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00   123694     0.00     0.00  std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const& std::forward<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&>(std::remove_reference<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > const&>::type&)
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned long const&, unsigned long, std::__detail::_Hash_node_value<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, false> const&) const
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long>, true>::_M_cget() const
  0.00      0.07     0.00   123692     0.00     0.00  std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<double* const, unsigned long> >::_M_v()
  0.00      0.07     0.00   123692     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, std::__cxx11::list<double*, std::allocator<double*> > > >::_M_v()
  0.00      0.07     0.00   121518     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00      0.07     0.00   121518     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00      0.07     0.00   121518     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00      0.07     0.00   121514     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.07     0.00   121512     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00      0.07     0.00   121512     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::_M_end()
  0.00      0.07     0.00   121512     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00      0.07     0.00   121510     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_ptr()
